Number,Label
1,Non
2,Non
3,Fizz
4,Non
5,Buzz
6,Fizz
7,Non
8,Non
9,Fizz
10,Buzz
11,Non
12,Fizz
13,Non
14,Non
15,FizzBuzz
16,Non
17,Non
18,Fizz
19,Non
20,Buzz
21,Fizz
22,Non
23,Non
24,Fizz
25,Buzz
26,Non
27,Fizz
28,Non
29,Non
30,FizzBuzz
31,Non
32,Non
33,Fizz
34,Non
35,Buzz
36,Fizz
37,Non
38,Non
39,Fizz
40,Buzz
41,Non
42,Fizz
43,Non
44,Non
45,FizzBuzz
46,Non
47,Non
48,Fizz
49,Non
50,Buzz
51,Fizz
52,Non
53,Non
54,Fizz
55,Buzz
56,Non
57,Fizz
58,Non
59,Non
60,FizzBuzz
61,Non
62,Non
63,Fizz
64,Non
65,Buzz
66,Fizz
67,Non
68,Non
69,Fizz
70,Buzz
71,Non
72,Fizz
73,Non
74,Non
75,FizzBuzz
76,Non
77,Non
78,Fizz
79,Non
80,Buzz
81,Fizz
82,Non
83,Non
84,Fizz
85,Buzz
86,Non
87,Fizz
88,Non
89,Non
90,FizzBuzz
91,Non
92,Non
93,Fizz
94,Non
95,Buzz
96,Fizz
97,Non
98,Non
99,Fizz
100,Buzz
101,Non
102,Fizz
103,Non
104,Non
105,FizzBuzz
106,Non
107,Non
108,Fizz
109,Non
110,Buzz
111,Fizz
112,Non
113,Non
114,Fizz
115,Buzz
116,Non
117,Fizz
118,Non
119,Non
120,FizzBuzz
121,Non
122,Non
123,Fizz
124,Non
125,Buzz
126,Fizz
127,Non
128,Non
129,Fizz
130,Buzz
131,Non
132,Fizz
133,Non
134,Non
135,FizzBuzz
136,Non
137,Non
138,Fizz
139,Non
140,Buzz
141,Fizz
142,Non
143,Non
144,Fizz
145,Buzz
146,Non
147,Fizz
148,Non
149,Non
150,FizzBuzz
151,Non
152,Non
153,Fizz
154,Non
155,Buzz
156,Fizz
157,Non
158,Non
159,Fizz
160,Buzz
161,Non
162,Fizz
163,Non
164,Non
165,FizzBuzz
166,Non
167,Non
168,Fizz
169,Non
170,Buzz
171,Fizz
172,Non
173,Non
174,Fizz
175,Buzz
176,Non
177,Fizz
178,Non
179,Non
180,FizzBuzz
181,Non
182,Non
183,Fizz
184,Non
185,Buzz
186,Fizz
187,Non
188,Non
189,Fizz
190,Buzz
191,Non
192,Fizz
193,Non
194,Non
195,FizzBuzz
196,Non
197,Non
198,Fizz
199,Non
200,Buzz
201,Fizz
202,Non
203,Non
204,Fizz
205,Buzz
206,Non
207,Fizz
208,Non
209,Non
210,FizzBuzz
211,Non
212,Non
213,Fizz
214,Non
215,Buzz
216,Fizz
217,Non
218,Non
219,Fizz
220,Buzz
221,Non
222,Fizz
223,Non
224,Non
